id,title,description,category,priority,is_fake,is_duplicate,is_anomaly
1,Unfair grading in mid-semester exam,My mid-semester exam paper was graded incorrectly. I scored full marks in three questions but was given partial credit without any explanation. I requested a re-evaluation but the professor ignored my request for two weeks.,ACADEMIC,HIGH,false,false,false
2,Teacher absent for entire month,Our Data Structures professor has been absent for the entire month of October. No substitute has been arranged and the syllabus is falling behind severely affecting our exam preparation.,ACADEMIC,HIGH,false,false,false
3,Practical marks not updated,My practical examination marks from last semester have still not been updated on the university portal even after three months. This is affecting my CGPA calculation and scholarship eligibility.,ACADEMIC,MEDIUM,false,false,false
4,Biased internal assessment,The internal assessment marks for my section appear to be biased. Students who attend extra coaching with the same professor are consistently scoring higher than those who do not.,ACADEMIC,HIGH,false,false,false
5,Syllabus not completed before exams,The professor teaching Operating Systems did not complete the syllabus before the end-semester examination. More than four units were left uncovered leaving students underprepared.,ACADEMIC,MEDIUM,false,false,false
6,Wrong question paper distributed,During the scheduled examination for Software Engineering the wrong question paper was distributed to our hall. The examination had to be cancelled causing unnecessary stress to all students.,ACADEMIC,CRITICAL,false,false,true
7,Attendance shortage due to professor error,My attendance has been marked short due to an administrative error by the professor. I have all class notes and timestamps proving I was present but the correction request has been denied.,ACADEMIC,MEDIUM,false,false,false
8,Project guide not available,My final year project guide has not responded to emails or meeting requests for over six weeks. This is significantly delaying my project progress and my submission deadline is approaching.,ACADEMIC,HIGH,false,false,false
9,Re-evaluation result not communicated,I applied for re-evaluation of my third-semester end-term examination three months ago. I have not received any result or acknowledgment and the university office gives no timeline.,ACADEMIC,MEDIUM,false,false,false
10,Discriminatory grading based on attendance,Students who missed classes due to medical emergencies are being penalized in internal marks disproportionately compared to students with similar attendance for other reasons.,ACADEMIC,HIGH,false,false,false
11,Broken projector in classroom,The projector in Room 204 has been non-functional for the past three weeks. Multiple complaints have been filed with the maintenance department but no repair has been done.,INFRASTRUCTURE,LOW,false,false,false
12,No drinking water on third floor,The water cooler on the third floor of the main academic block has been broken for two months. Students have to walk to the ground floor for water disrupting classes.,INFRASTRUCTURE,MEDIUM,false,false,false
13,Waterlogging in laboratory corridor,The corridor outside the chemistry laboratory floods every time it rains due to a blocked drain. This creates a safety hazard and has caused two students to slip and injure themselves.,INFRASTRUCTURE,HIGH,false,false,false
14,Electrical short circuit in classroom,There was a short circuit in classroom 301 last week that caused sparks near the seating area. Students were evacuated but the room has been in use again without any electrical inspection.,INFRASTRUCTURE,CRITICAL,false,false,true
15,Wi-Fi not working in hostel block C,The Wi-Fi in hostel Block C has been non-functional for ten days. This affects online classes assignment submissions and self-study for over two hundred residents.,INFRASTRUCTURE,HIGH,false,false,false
16,Library roof leaking during monsoon,The library roof has been leaking since the beginning of the monsoon season. Books and computers near the windows have been damaged and no repair work has been initiated.,INFRASTRUCTURE,MEDIUM,false,false,false
17,Broken benches in seminar hall,Most of the benches in the seminar hall are broken or unstable. During a recent guest lecture two students fell when a bench collapsed causing minor injuries.,INFRASTRUCTURE,HIGH,false,false,false
18,No power backup in examination hall,During the end-semester examination the power went out and there was no backup generator available. Students had to sit in the dark for forty-five minutes affecting the entire batch.,INFRASTRUCTURE,CRITICAL,false,false,true
19,Lift not working in academic block,The elevator in the academic block has been out of service for three weeks. Students with physical disabilities and those carrying heavy laboratory equipment are severely inconvenienced.,INFRASTRUCTURE,MEDIUM,false,false,false
20,Computer lab PCs not maintained,More than half the computers in Computer Lab 2 are either not booting or have outdated software. Students scheduled for practical examinations have raised this issue multiple times with no resolution.,INFRASTRUCTURE,HIGH,false,false,false
21,Senior students ragging freshers,Several senior students have been verbally harassing and intimidating first-year students in the hostel common room after 10 PM. Three freshers reported being forced to perform demeaning tasks.,HARASSMENT,CRITICAL,false,false,false
22,Professor making inappropriate comments,A faculty member has been making personal remarks about students' appearances and family backgrounds during lectures. Multiple students in the class have been uncomfortable but fear retaliation.,HARASSMENT,CRITICAL,false,false,false
23,Gender-based discrimination in lab groups,The laboratory instructor assigns group work by gender consistently placing female students in less important roles. When students objected they were told to comply or face attendance deductions.,HARASSMENT,HIGH,false,false,false
24,Cyberbullying in class WhatsApp group,A group of students has been sharing edited photographs and derogatory messages targeting a female student in the class WhatsApp group. The posts have been screenshotted and are available as evidence.,HARASSMENT,CRITICAL,false,false,false
25,Caste-based discrimination in hostel,A student from a scheduled caste background has been denied entry to shared hostel spaces by other students and has received caste-based slurs. The hostel warden has not taken any action.,HARASSMENT,CRITICAL,false,false,false
26,Faculty threatening marks for personal reasons,A professor threatened to deduct internal marks from a student who reported the professor's delayed syllabus completion. The threat was made in front of the class and witnessed by multiple students.,HARASSMENT,CRITICAL,false,false,false
27,Student being excluded from group projects,A student with a physical disability is being systematically excluded from group projects and study groups. When raised with the class coordinator the issue was dismissed as a personal matter.,HARASSMENT,HIGH,false,false,false
28,Religious discrimination in assignment evaluation,A student belonging to a minority religious group has noticed a consistent pattern of lower evaluation scores compared to peers submitting work of equal quality. The pattern spans three semesters.,HARASSMENT,HIGH,false,false,false
29,Threatening behaviour near campus gate,A group of outsiders has been gathering near the campus gate and verbally harassing female students when they leave in the evening. Security guards are aware but have not intervened effectively.,HARASSMENT,CRITICAL,false,false,false
